date,value
2012-04-13,1.636
2012-04-20,1.627
2012-04-27,1.627
2012-05-04,1.625
2012-05-11,1.621
2012-05-18,1.621
2012-05-25,1.625
2012-06-01,1.628
2012-06-08,1.632
2012-06-15,1.629
2012-06-22,1.637
2012-06-29,1.64
2012-07-06,1.647
2012-07-13,1.647
2012-07-20,1.66
2012-07-27,1.656
2012-08-03,1.645
2012-08-10,1.645
2012-08-17,1.643
2012-08-24,1.648
2012-08-31,1.655
2012-09-07,1.652
2012-09-14,1.647
2012-09-21,1.655
2012-09-28,1.659
2012-10-05,1.663
2012-10-12,1.663
2012-10-19,1.6563
2012-10-26,1.658
2012-11-02,1.659
2012-11-09,1.663
2012-11-16,1.668
2012-11-23,1.656
2012-11-30,1.66
2012-12-07,1.662
2012-12-14,1.662
2012-12-21,1.652
2012-12-28,1.655
2013-01-04,1.658
2013-01-11,1.656
2013-01-18,1.657
2013-01-25,1.659
2013-02-01,1.6537
2013-02-08,1.6555
2013-02-15,1.654
2013-02-22,1.653
2013-03-01,1.6545
2013-03-08,1.659
2013-03-15,1.659
2013-03-22,1.658
2013-03-29,1.657
2013-04-05,1.651
2013-04-12,1.6553
2013-04-19,1.655
2013-04-26,1.651
2013-05-03,1.65
2013-05-10,1.645
2013-05-17,1.6335
2013-05-24,1.636
2013-05-31,1.649
2013-06-07,1.66
2013-06-14,1.6495
2013-06-21,1.6525
2013-06-28,1.651
2013-07-05,1.6547
2013-07-12,1.656
2013-07-19,1.653
2013-07-26,1.6537
2013-08-02,1.665
2013-08-09,1.6578
2013-08-16,1.6618
2013-08-23,1.66
2013-08-30,1.659
2013-09-06,1.6618
2013-09-13,1.6557
2013-09-20,1.662
2013-09-27,1.662
2013-10-04,1.661
2013-10-11,1.664
2013-10-18,1.6615
2013-10-25,1.668
2013-11-01,1.6715
2013-11-08,1.677
2013-11-15,1.676
2013-11-22,1.6775
2013-11-29,1.695
2013-12-06,1.7079
2013-12-13,1.7101
2013-12-20,1.7149
2013-12-27,1.7364
2014-01-03,1.7445
2014-01-10,1.7471
2014-01-17,1.777
2014-01-24,1.7761
2014-01-31,1.7789
2014-02-07,1.7399
2014-02-14,1.7259
2014-02-21,1.7373
2014-02-28,1.7421
2014-03-07,1.7373
2014-03-14,1.724
2014-03-21,1.7456
2014-03-28,1.7479
2014-04-04,1.7449
2014-04-11,1.7522
2014-04-18,1.7526
2014-04-25,1.7684
2014-05-02,1.7595
2014-05-09,1.762
2014-05-16,1.751
2014-05-23,1.768
2014-05-30,1.771
2014-06-06,1.768
2014-06-13,1.769
2014-06-20,1.77
2014-06-27,1.768
2014-07-04,1.77
2014-07-11,1.765
2014-07-18,1.752
2014-07-25,1.75
2014-08-01,1.733
2014-08-08,1.723
2014-08-15,1.725
2014-08-22,1.728
2014-08-29,1.733
2014-09-05,1.744
2014-09-12,1.734
2014-09-19,1.747
2014-09-26,1.75
2014-10-03,1.755
2014-10-10,1.7541
2014-10-17,1.7525
2014-10-24,1.755
2014-10-31,1.752
2014-11-07,1.756
2014-11-14,1.761
2014-11-21,1.799
2014-11-28,1.837
2014-12-05,2.04
2014-12-12,1.82
2014-12-19,1.88
2014-12-26,1.86
2015-01-02,1.885
2015-01-09,1.9075
2015-01-16,1.94
2015-01-23,2.0079
2015-01-30,2.0282
2015-02-06,2.0333
2015-02-13,2.0379
2015-02-20,2.1782
2015-02-27,2.148
2015-03-06,2.1795
2015-03-13,2.178
2015-03-20,2.2196
2015-03-27,2.226
2015-04-03,2.255
2015-04-10,2.2411
2015-04-17,2.2519
2015-04-24,2.285
2015-05-01,2.3269
2015-05-08,2.3232
2015-05-15,2.3579
2015-05-22,2.2779
2015-05-29,2.3015
2015-06-05,2.2839
2015-06-12,2.235
2015-06-19,2.245
2015-06-26,2.249
2015-07-03,2.246
2015-07-10,2.247
2015-07-17,2.264
2015-07-24,2.255
2015-07-31,2.273
2015-08-07,2.311
2015-08-14,2.316
2015-08-21,2.342
2015-08-28,2.345
2015-09-04,2.37
2015-09-11,2.4
2015-09-18,2.45
2015-09-25,2.38
2015-10-02,2.39
2015-10-09,2.37
2015-10-16,2.365
2015-10-23,2.4
2015-10-30,2.39
2015-11-06,2.395
2015-11-13,2.395
2015-11-20,2.405
2015-11-27,2.4
2015-12-04,2.38
2015-12-11,2.395
2015-12-18,2.385
2015-12-25,2.39
2016-01-01,2.4
2016-01-08,2.415
2016-01-15,2.425
2016-01-22,2.47
2016-01-29,2.465
2016-02-05,2.485
2016-02-12,2.5
2016-02-19,2.485
2016-02-26,2.465
2016-03-04,2.465
2016-03-11,2.403
2016-03-18,2.28
2016-03-25,2.335
2016-04-01,2.2925
2016-04-08,2.27
2016-04-15,2.24
2016-04-22,2.24
2016-04-29,2.225
2016-05-06,2.205
2016-05-13,2.2
2016-05-20,2.145
2016-05-27,2.148
2016-06-03,2.137
2016-06-10,2.1282
2016-06-17,2.18
2016-06-24,2.31
2016-07-01,2.304
2016-07-08,2.345
2016-07-15,2.345
2016-07-22,2.345
2016-07-29,2.351
2016-08-05,2.355
2016-08-12,2.341
2016-08-19,2.27
2016-08-26,2.2857
2016-09-02,2.287
2016-09-09,2.31
2016-09-16,2.31
2016-09-23,2.32
2016-09-30,2.34
2016-10-07,2.335
2016-10-14,2.3763
2016-10-21,2.365
2016-10-28,2.3963
2016-11-04,2.4325
2016-11-11,2.47
2016-11-18,2.4913
2016-11-25,2.511
2016-12-02,2.5538
2016-12-09,2.595
2016-12-16,2.715
2016-12-23,2.745
2016-12-30,2.6575
2017-01-06,2.75
2017-01-13,2.715
2017-01-20,2.6725
2017-01-27,2.695
2017-02-03,2.68
2017-02-10,2.625
2017-02-17,2.6395
2017-02-24,2.58
2017-03-03,2.5075
2017-03-10,2.4995
2017-03-17,2.4853
2017-03-24,2.44
2017-03-31,2.4384
2017-04-07,2.4045
